;GSM04740709000;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709001;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709002;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709003;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709004;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709005;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709006;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709007;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709008;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709009;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709010;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709011;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
;GSM04740709012;CHRGMV;CHRGMV;186.25;Flyttet fra faktura til C-taxi;"Flytter kostnader til ny faktura fra samlefaktura til Chr taxi; ref Uzma CT";;;;;;tjp 020712;;tope8938
